Estado;Região;Ano;Depósitos
Amazonas;Norte;2011;39
Paraíba;Nordeste;2011;35
Sergipe;Nordeste;2011;35
Rio Grande do Norte;Nordeste;2011;29
Mato Grosso do Sul;Centro-Oeste;2011;22
Mato Grosso;Centro-Oeste;2011;20
Maranhão;Nordeste;2011;19
Piauí;Nordeste;2011;19
Rondônia;Norte;2011;17
Pará;Norte;2011;14
Alagoas;Nordeste;2011;10
Acre;Norte;2011;4
Tocantins;Norte;2011;3
Roraima;Norte;2011;2
Amapá;Norte;2011;1
São Paulo;Sudeste;2012;2816
Rio Grande do Sul;Sul;2012;726
Paraná;Sul;2012;637
Minas Gerais;Sudeste;2012;612
Santa Catarina;Sul;2012;482
Rio de Janeiro;Sudeste;2012;390
Bahia;Nordeste;2012;126
Goiás;Centro-Oeste;2012;112
Distrito Federal;Centro-Oeste;2012;101
Espírito Santo;Sudeste;2012;73
Pernambuco;Nordeste;2012;70
Ceará;Nordeste;2012;56
Rio Grande do Norte;Nordeste;2012;44
Mato Grosso;Centro-Oeste;2012;41
Amazonas;Norte;2012;34
Mato Grosso do Sul;Centro-Oeste;2012;31
Sergipe;Nordeste;2012;31
Maranhão;Nordeste;2012;30
Paraíba;Nordeste;2012;26
Alagoas;Nordeste;2012;20
Pará;Norte;2012;14
Piauí;Nordeste;2012;14
Rondônia;Norte;2012;9
Tocantins;Norte;2012;7
Roraima;Norte;2012;1
Acre;Norte;2012;
Amapá;Norte;2012;
São Paulo;Sudeste;2013;2659
Rio Grande do Sul;Sul;2013;772
Paraná;Sul;2013;626
Minas Gerais;Sudeste;2013;599
Santa Catarina;Sul;2013;481
Rio de Janeiro;Sudeste;2013;413
Espírito Santo;Sudeste;2013;123
Bahia;Nordeste;2013;112
Distrito Federal;Centro-Oeste;2013;93
Ceará;Nordeste;2013;87
Goiás;Centro-Oeste;2013;87
Pernambuco;Nordeste;2013;77
Rio Grande do Norte;Nordeste;2013;42
Paraíba;Nordeste;2013;39
Mato Grosso do Sul;Centro-Oeste;2013;34
Sergipe;Nordeste;2013;32
Amazonas;Norte;2013;31
Maranhão;Nordeste;2013;30
Pará;Norte;2013;22
Mato Grosso;Centro-Oeste;2013;21
Alagoas;Nordeste;2013;18
Rondônia;Norte;2013;11
Tocantins;Norte;2013;10
Piauí;Nordeste;2013;8
Acre;Norte;2013;2
Amapá;Norte;2013;
Roraima;Norte;2013;
São Paulo;Sudeste;2014;2288
Rio Grande do Sul;Sul;2014;608
Paraná;Sul;2014;551
Minas Gerais;Sudeste;2014;442
Santa Catarina;Sul;2014;418
Rio de Janeiro;Sudeste;2014;352
Espírito Santo;Sudeste;2014;111
Pernambuco;Nordeste;2014;91
Bahia;Nordeste;2014;90
Ceará;Nordeste;2014;86
Goiás;Centro-Oeste;2014;65
Distrito Federal;Centro-Oeste;2014;62
Sergipe;Nordeste;2014;38
Rio Grande do Norte;Nordeste;2014;37
Amazonas;Norte;2014;35
Mato Grosso do Sul;Centro-Oeste;2014;35
Paraíba;Nordeste;2014;28
Pará;Norte;2014;18
Mato Grosso;Centro-Oeste;2014;17
Maranhão;Nordeste;2014;15
Alagoas;Nordeste;2014;13
Piauí;Nordeste;2014;12
Rondônia;Norte;2014;9
Tocantins;Norte;2014;6
Acre;Norte;2014;2
Amapá;Norte;2014;1
Roraima;Norte;2014;1
São Paulo;Sudeste;2015;2088
Rio Grande do Sul;Sul;2015;571
Paraná;Sul;2015;519
Santa Catarina;Sul;2015;469
Minas Gerais;Sudeste;2015;454
Rio de Janeiro;Sudeste;2015;316
Espírito Santo;Sudeste;2015;124
Bahia;Nordeste;2015;113
Pernambuco;Nordeste;2015;96
Goiás;Centro-Oeste;2015;76
Ceará;Nordeste;2015;69
Rio Grande do Norte;Nordeste;2015;52
Distrito Federal;Centro-Oeste;2015;46
Paraíba;Nordeste;2015;38
Sergipe;Nordeste;2015;29
Maranhão;Nordeste;2015;28
Pará;Norte;2015;26
Mato Grosso;Centro-Oeste;2015;25
Amazonas;Norte;2015;22
Alagoas;Nordeste;2015;21
Mato Grosso do Sul;Centro-Oeste;2015;21
Piauí;Nordeste;2015;12
Rondônia;Norte;2015;8
Tocantins;Norte;2015;2
Acre;Norte;2015;1
Roraima;Norte;2015;1
Amapá;Norte;2015;
São Paulo;Sudeste;2016;2013
Rio Grande do Sul;Sul;2016;697
Paraná;Sul;2016;615
Minas Gerais;Sudeste;2016;553
Santa Catarina;Sul;2016;471
Rio de Janeiro;Sudeste;2016;325
Pernambuco;Nordeste;2016;137
Espírito Santo;Sudeste;2016;134
Bahia;Nordeste;2016;119
Goiás;Centro-Oeste;2016;76
Ceará;Nordeste;2016;72
Distrito Federal;Centro-Oeste;2016;66
Paraíba;Nordeste;2016;60
Maranhão;Nordeste;2016;45
Rio Grande do Norte;Nordeste;2016;40
Mato Grosso;Centro-Oeste;2016;37
Pará;Norte;2016;33
Sergipe;Nordeste;2016;33
Amazonas;Norte;2016;25
Mato Grosso do Sul;Centro-Oeste;2016;24
Alagoas;Nordeste;2016;23
Piauí;Nordeste;2016;19
Rondônia;Norte;2016;13
Tocantins;Norte;2016;10
Amapá;Norte;2016;2
Acre;Norte;2016;
Roraima;Norte;2016;
