Campo_Tec;Area_Tec;Ano;Depósitos
Mobiliário - jogos;Outras áreas;1998;666
Engenharia civil;Outras áreas;1998;540
Manejo;Engenharia mecânica;1998;537
Outros bens de consumo;Outras áreas;1998;461
Transporte;Engenharia mecânica;1998;456
Outras maquinas especiais;Engenharia mecânica;1998;339
Tecnologia aplicada a medicina;Instrumentos;1998;265
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1998;229
Elementos mecânicos;Engenharia mecânica;1998;191
Tecnologia audiovisual;Engenharia elétrica;1998;179
Controle;Instrumentos;1998;167
Máquinas ferramentas;Engenharia mecânica;1998;144
Medição;Instrumentos;1998;129
Aparelhos e processos térmicos;Engenharia mecânica;1998;122
Tecnologia aplicada ao meio ambiente;Química;1998;96
Telecomunicações;Engenharia elétrica;1998;94
Engenharia química;Química;1998;93
Motores - bombas - turbinas;Engenharia mecânica;1998;89
Produtos farmacêuticos;Química;1998;87
Química de alimentos;Química;1998;85
Máquinas têxteis e de papel;Engenharia mecânica;1998;74
Química de materiais básicos;Química;1998;57
Materiais - metalurgia;Química;1998;54
Tecnologia da computação;Engenharia elétrica;1998;52
Tecnologia de superfícies e revestimentos;Química;1998;35
Ótica;Instrumentos;1998;28
Química orgânica fina;Química;1998;16
Processos básicos de comunicação;Engenharia elétrica;1998;15
Química macromolecular e polímeros;Química;1998;14
Biotecnologia;Química;1998;13
Análise de material biológico;Instrumentos;1998;6
Comunicação digital;Engenharia elétrica;1998;5
Semicondutores;Engenharia elétrica;1998;3
Métodos de gestão em TI;Engenharia elétrica;1998;
Microestruturas e nanotecnologia;Química;1998;
Mobiliário - jogos;Outras áreas;1999;772
Engenharia civil;Outras áreas;1999;676
Manejo;Engenharia mecânica;1999;520
Outros bens de consumo;Outras áreas;1999;475
Transporte;Engenharia mecânica;1999;469
Outras maquinas especiais;Engenharia mecânica;1999;409
Tecnologia aplicada a medicina;Instrumentos;1999;290
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;1999;287
Tecnologia audiovisual;Engenharia elétrica;1999;228
