Campo_Tec;Area_Tec;Ano;Depósitos
Química de materiais básicos;Química;2001;297
Outras maquinas especiais;Engenharia mecânica;2001;232
Transporte;Engenharia mecânica;2001;218
Biotecnologia;Química;2001;212
Tecnologia da computação;Engenharia elétrica;2001;212
Elementos mecânicos;Engenharia mecânica;2001;202
Máquinas têxteis e de papel;Engenharia mecânica;2001;189
Engenharia química;Química;2001;188
Manejo;Engenharia mecânica;2001;180
Engenharia civil;Outras áreas;2001;158
Tecnologia de superfícies e revestimentos;Química;2001;135
Medição;Instrumentos;2001;130
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2001;127
Máquinas ferramentas;Engenharia mecânica;2001;115
Motores - bombas - turbinas;Engenharia mecânica;2001;112
Materiais - metalurgia;Química;2001;109
Ótica;Instrumentos;2001;103
Outros bens de consumo;Outras áreas;2001;88
Química de alimentos;Química;2001;86
Comunicação digital;Engenharia elétrica;2001;82
Tecnologia audiovisual;Engenharia elétrica;2001;76
Aparelhos e processos térmicos;Engenharia mecânica;2001;76
Mobiliário - jogos;Outras áreas;2001;65
Controle;Instrumentos;2001;59
Tecnologia aplicada ao meio ambiente;Química;2001;41
Processos básicos de comunicação;Engenharia elétrica;2001;35
Análise de material biológico;Instrumentos;2001;22
Semicondutores;Engenharia elétrica;2001;10
Métodos de gestão em TI;Engenharia elétrica;2001;
Microestruturas e nanotecnologia;Química;2001;
Produtos farmacêuticos;Química;2002;541
Química orgânica fina;Química;2002;475
Tecnologia aplicada a medicina;Instrumentos;2002;306
Química de materiais básicos;Química;2002;275
Química macromolecular e polímeros;Química;2002;266
Telecomunicações;Engenharia elétrica;2002;218
Tecnologia da computação;Engenharia elétrica;2002;211
Outras maquinas especiais;Engenharia mecânica;2002;200
Manejo;Engenharia mecânica;2002;187
Engenharia química;Química;2002;180
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2002;180
Elementos mecânicos;Engenharia mecânica;2002;178
Transporte;Engenharia mecânica;2002;167
Tecnologia de superfícies e revestimentos;Química;2002;139
Máquinas têxteis e de papel;Engenharia mecânica;2002;138
Biotecnologia;Química;2002;137
Engenharia civil;Outras áreas;2002;127
Medição;Instrumentos;2002;114
Materiais - metalurgia;Química;2002;108
Comunicação digital;Engenharia elétrica;2002;103
Máquinas ferramentas;Engenharia mecânica;2002;101
Ótica;Instrumentos;2002;86
Química de alimentos;Química;2002;80
Motores - bombas - turbinas;Engenharia mecânica;2002;78
Mobiliário - jogos;Outras áreas;2002;77
Outros bens de consumo;Outras áreas;2002;66
Tecnologia audiovisual;Engenharia elétrica;2002;63
Controle;Instrumentos;2002;50
Aparelhos e processos térmicos;Engenharia mecânica;2002;49
Tecnologia aplicada ao meio ambiente;Química;2002;34
Análise de material biológico;Instrumentos;2002;31
Processos básicos de comunicação;Engenharia elétrica;2002;19
Semicondutores;Engenharia elétrica;2002;15
Métodos de gestão em TI;Engenharia elétrica;2002;2
Microestruturas e nanotecnologia;Química;2002;
Produtos farmacêuticos;Química;2003;688
Química orgânica fina;Química;2003;537
Tecnologia aplicada a medicina;Instrumentos;2003;366
Química de materiais básicos;Química;2003;311
Telecomunicações;Engenharia elétrica;2003;289
Tecnologia da computação;Engenharia elétrica;2003;259
Química macromolecular e polímeros;Química;2003;220
Máquinas têxteis e de papel;Engenharia mecânica;2003;207
Outras maquinas especiais;Engenharia mecânica;2003;200
Manejo;Engenharia mecânica;2003;184
Elementos mecânicos;Engenharia mecânica;2003;180
Biotecnologia;Química;2003;179
Engenharia química;Química;2003;177
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2003;167
Engenharia civil;Outras áreas;2003;155
